省份,城市,firm_total,entry_rate,exit_rate,net_rate,business_env_index,rank_2023
海南省,三沙市,17,1,0,1,-1.7766861,1
甘肃省,嘉峪关市,408,.997549,.0024509805,.99509805,.63994533,2
青海省,玉树藏族自治州,394,1,0,1,1.1800873,3
青海省,黄南藏族自治州,334,.997006,.0029940121,.994012,1.286658,4
内蒙古自治区,阿拉善盟,1221,.98607701,.013923014,.97215396,1.3272288,5
青海省,果洛藏族自治州,164,1,0,1,1.3295424,6
云南省,怒江傈僳族自治州,949,.99157006,.0084299259,.98314017,1.3634259,7
陕西省,铜川市,961,.9927159,.0072840792,.98543185,1.3804213,8
西藏自治区,阿里地区,224,1,0,1,1.4084182,9
青海省,海南藏族自治州,545,.99633026,.0036697248,.99266052,1.4242558,10
陕西省,商洛市,2178,.99724519,.002754821,.99449039,1.425107,11
西藏自治区,那曲市,516,1,0,1,1.4311333,12
宁夏回族自治区,石嘴山市,909,.99229926,.0077007702,.98459846,1.4360574,13
吉林省,白城市,1653,.98366606,.016333938,.96733212,1.447521,14
黑龙江省,双鸭山市,1666,.97478992,.025210084,.94957983,1.4714659,15
青海省,海北藏族自治州,323,.99380803,.0061919503,.98761612,1.4828469,16
甘肃省,金昌市,1141,.99474144,.0052585453,.98948294,1.4882238,17
黑龙江省,七台河市,963,.98546207,.014537903,.9709242,1.4953721,18
黑龙江省,大兴安岭地区,461,.98915404,.010845987,.97830802,1.5036374,19
甘肃省,武威市,2646,.99357522,.0064247921,.98715043,1.516672,20
