省份,城市,firm_total2000,industry_cells2000,net_rate2000,rank_net2000,firm_total2023,industry_cells2023,net_rate2023,rank_net2023,rank_improve,rank_change,abs_rank_change
云南省,昆明市,186,19,-1,12,59364,206,.98460346,56,-44,44,44
北京市,北京市,1479,60,-.92292088,4,321906,273,.81464773,89,-85,85,85
甘肃省,兰州市,758,45,-.98153037,7,26319,185,.76009727,108,-101,101,101
浙江省,杭州市,196,22,-.98979592,10,162069,292,.73394048,124,-114,114,114
广西壮族自治区,南宁市,62,8,-1,12,55182,214,.72549021,137,-125,125,125
广东省,广州市,94,11,-.72340423,2,275844,296,.7210235,142,-140,140,140
山东省,济南市,92,14,-.93478262,5,99310,262,.71591985,149,-144,144,144
重庆市,重庆市,1164,64,-.98453611,9,126192,280,.69633573,174,-165,165,165
内蒙古自治区,包头市,114,10,-1,12,14842,153,.655572,223,-211,211,211
山东省,青岛市,351,36,-.94301993,6,114579,302,.65456146,225,-219,219,219
上海市,上海市,612,40,.66339868,1,360064,272,.60816413,281,-280,280,280
天津市,天津市,276,27,-.84782606,3,119671,273,.50958878,327,-324,324,324
广西壮族自治区,桂林市,223,27,-.98206276,8,10485,162,.4746781,335,-327,327,327
