省份,entry_count,exit_count,firm_total,entry_rate,exit_rate,net_rate
西藏自治区,68039,12996,81035,.83962488,.16037515,.6792497
海南省,590155,147948,738103,.79955643,.20044357,.59911287
青海省,110009,29721,139730,.78729695,.21270306,.57459384
湖南省,1214860,338276,1553136,.78219807,.21780191,.56439614
陕西省,1060856,310876,1371732,.77336973,.22663027,.54673946
甘肃省,475581,141867,617448,.77023649,.22976348,.54047304
河北省,1923311,586521,2509832,.76631063,.23368935,.53262132
上海市,2153973,663396,2817369,.76453352,.2354665,.52906704
江苏省,3613467,1163896,4777363,.75637269,.24362729,.51274544
湖北省,1515495,499102,2014597,.75225717,.24774285,.50451428
贵州省,757054,250156,1007210,.75163472,.24836528,.50326943
云南省,763696,257332,1021028,.74796772,.25203228,.49593547
山东省,3739356,1273226,5012582,.74599397,.25400603,.49198797
四川省,1673385,583726,2257111,.74138355,.25861645,.48276713
新疆维吾尔自治区,400146,140107,540253,.74066412,.25933591,.48132819
河南省,2066111,725149,2791260,.74020731,.25979272,.48041457
福建省,1589376,557911,2147287,.74017864,.25982136,.48035732
安徽省,1782389,636414,2418803,.73688889,.26311114,.47377774
山西省,895444,321623,1217067,.73573929,.26426071,.47147855
辽宁省,940720,342177,1282897,.73327786,.26672211,.46655577
江西省,1049823,382676,1432499,.73286122,.26713875,.4657225
广东省,5981480,2412603,8394083,.71258289,.28741711,.4251658
北京市,1722886,695239,2418125,.71248841,.28751162,.4249768
广西壮族自治区,822944,340094,1163038,.70758134,.29241866,.41516271
浙江省,2788533,1230898,4019431,.69376314,.30623686,.38752624
重庆市,798243,354374,1152617,.69254833,.30745167,.3850967
吉林省,553407,253958,807365,.68544835,.31455165,.3708967
宁夏回族自治区,173799,79909,253708,.68503553,.31496444,.37007111
内蒙古自治区,510048,234664,744712,.68489295,.31510705,.3697859
天津市,639477,373653,1013130,.63118947,.3688105,.26237896
黑龙江省,482365,308350,790715,.61003649,.38996351,.22007297
