行业门类,age_premium,age,obs
科学研究和技术服务业,.16097783,3.177886,14
交通运输、仓储和邮政业,.10182355,3.1187317,14
教育,.099220894,3.1161289,14
建筑业,.074922301,3.0918305,14
居民服务、修理和其他服务业,.074163303,3.0910714,14
租赁和商务服务业,.067867503,3.0847757,14
房地产业,.041275587,3.0581837,14
批发和零售业,.023360906,3.0402691,14
制造业,.0036512357,3.0205593,14
住宿和餐饮业,-.0030857006,3.0138223,14
文化、体育和娱乐业,-.0076210243,3.0092871,14
金融业,-.043196384,2.9737117,14
农、林、牧、渔业,-.04464931,2.9722588,14
信息传输、软件和信息技术服务业,-.05176137,2.9651468,14
卫生和社会工作,-.064184815,2.9527233,14
水利、环境和公共设施管理业,-.077997111,2.938911,14
电力、热力、燃气及水生产和供应业,-.1043224,2.9125857,14
采矿业,-.2504448,2.7664633,14
