行业门类,age,obs,sector_code,net_rate,entry_rate,exit_rate,firm_total,label_sector
交通运输、仓储和邮政业,3.1187317,14,G,.40537906,.70268953,.29731047,1735745,交通运输、仓储和邮政业
住宿和餐饮业,3.0138223,14,H,.37010887,.68505442,.31494558,1043210,
信息传输、软件和信息技术服务业,2.9651468,14,I,.2564097,.62820488,.37179515,4549805,
农、林、牧、渔业,2.9722588,14,A,.46207708,.73103851,.26896146,1623519,
制造业,3.0205593,14,C,.41792744,.70896369,.29103628,10470217,
卫生和社会工作,2.9527233,14,Q,.44528431,.72264212,.27735785,384591,
居民服务、修理和其他服务业,3.0910714,14,O,.29768866,.64884436,.35115567,1139423,
建筑业,3.0918305,14,E,.51241601,.756208,.24379201,6249848,
房地产业,3.0581837,14,K,.26684469,.63342232,.36657766,1858624,
批发和零售业,3.0402691,14,F,.35290322,.67645162,.32354841,11721946,
教育,3.1161289,14,P,.19394878,.59697437,.40302563,877116,教育
文化、体育和娱乐业,3.0092871,14,R,.33776796,.66888398,.33111602,2456038,
水利、环境和公共设施管理业,2.938911,14,N,.38609257,.69304627,.30695373,671907,水利、环境和公共设施管理业
电力、热力、燃气及水生产和供应业,2.9125857,14,D,.39668372,.69834185,.30165815,503618,电力、热力、燃气及水生产和供应业
科学研究和技术服务业,3.177886,14,M,.38275167,.69137585,.30862418,5312454,科学研究和技术服务业
租赁和商务服务业,3.0847757,14,L,.30533528,.65266764,.34733236,5779640,
采矿业,2.7664633,14,B,.3381173,.66905868,.33094135,324699,采矿业
金融业,2.9737117,14,J,.28130189,.64065093,.35934907,663679,
